text,label
franchement Quel stream de merde mdr,1
T'es vraiment nul 😭,1
Personne t'aime ici 💀,1
ptdr Tu joues depuis combien de temps ? ptdr,0
T'es chaud aujourd'hui lol,0
eh T'es mauvais 🤡,1
wesh T'es éclaté sérieux,1
non mais Arrête le stream 😭,1
wesh Salut tout le monde lol,0
non mais J'en peux plus de te voir sérieux,1
non mais Ça fait plaisir à regarder 💀,0
mdr GG bien joué lol,0
eh T'es une honte mdr,1
wesh T'es mauvais 🤡,1
mdr T'es à la ramasse mdr,1
non mais C'est de la merde 💀,1
franchement Quel est ton setup ? 😭,0
eh Ce jeu est incroyable 😭,0
ptdr T'es un gros con mdr,1
wesh Arrête le stream mdr,1
GG bien joué 😭,0
J'adore ce jeu sérieux,0
franchement Tu gères 😭,0
franchement Quel stream de merde ptdr,1
non mais Bien joué le move 🤡,0
lol T'es pathétique lol,1
Trop fort,0
C'est insupportable 😭,1
mdr GG,0
wesh Trop clean 😭,0
Très bonne ambiance ici mdr,0
non mais Niveau zéro 😭,1
ptdr C'est nul à chier 😭,1
ptdr Ça joue bien mdr,0
franchement Quel malaise lol,1
franchement Tu joues depuis combien de temps ? mdr,0
lol Bon courage 😭,0
lol Tu joues depuis combien de temps ? sérieux,0
Super stream aujourd'hui 💀,0
Niveau zéro sérieux,1
ptdr Nice play,0
mdr J'en peux plus de te voir mdr,1
lol Ce jeu est incroyable lol,0
ptdr Tu gères,0
wesh Quelle purge 😭,1
lol Continue le grind 🤡,0
non mais Arrête de stream lol,1
non mais Dégage de Twitch 🤡,1
eh GG 🤡,0
wesh J'en peux plus de te voir 🤡,1
wesh T'es gênant sérieux,1
Bon courage 🤡,0
wesh Apprends à jouer ptdr,1
non mais Franchement respect lol,0
Quel clutch 💀,0
wesh Let's goooo 💀,0
wesh Nice play mdr,0
mdr Merci pour le contenu,0
lol Ça clutch fort 😭,0
lol C'est catastrophique 😭,1
non mais Supprime ta chaîne 💀,1
eh Supprime ta chaîne lol,1
franchement Bien vu,0
ptdr Bon courage 😭,0
Quel stream de merde ptdr,1
mdr Mais joue correctement ptdr,1
Ce jeu est incroyable mdr,0
wesh C'est de la merde 💀,1
mdr Propre lol,0
non mais Quel stream de merde ptdr,1
lol Hâte de voir la suite lol,0
C'est insupportable,1
franchement Va te faire foutre 💀,1
ptdr C'est trop bien ce que tu fais 💀,0
Ça régale ptdr,0
eh Tu gères 😭,0
franchement Quel stream de merde lol,1
mdr Niveau zéro mdr,1
franchement Supprime ta chaîne mdr,1
wesh Super stream aujourd'hui sérieux,0
non mais Ça clutch fort 🤡,0
ptdr Yo,0
lol On s'ennuie à mort mdr,1
eh J'aime bien ton style de jeu 🤡,0
non mais J'en peux plus de te voir mdr,1
non mais Incroyable ce clutch sérieux,0
ptdr Super stream aujourd'hui sérieux,0
Franchement respect 🤡,0
wesh T'es éclaté 🤡,1
ptdr T'es ridicule 💀,1
wesh T'es chaud aujourd'hui lol,0
eh Merci pour le stream 🤡,0
franchement Arrête le stream,1
ptdr T'as un niveau éclaté 💀,1
lol Ça fait plaisir à regarder 🤡,0
Super stream aujourd'hui mdr,0
On s'ennuie à mort 😭,1
mdr J'adore ce jeu,0
mdr Franchement respect 😭,0
ptdr Force à toi ptdr,0
eh Trop fort ptdr,0
Tu fais n'importe quoi 😭,1
Merci pour le contenu 😭,0
non mais T'es nul sérieux,1
lol C'est nul à chier lol,1
franchement On s'ennuie à mort,1
T'as un niveau éclaté,1
Ça joue bien,0
lol T'es un gros con,1
lol J'aime bien ton style de jeu ptdr,0
lol Merci pour le contenu mdr,0
wesh Franchement respect lol,0
lol T'es à la ramasse 💀,1
Quel clutch mdr,0
franchement Apprends à jouer 💀,1
eh GG bien joué 🤡,0
wesh Bonne soirée le chat 💀,0
wesh T'as un niveau éclaté lol,1
Quel malaise sérieux,1
mdr Niveau zéro sérieux,1
lol Propre 🤡,0
wesh Salut le chat lol,0
wesh T'es vraiment nul,1
franchement T'es à la ramasse mdr,1
mdr C'est catastrophique,1
eh T'as aucun talent,1
Hâte de voir la suite 🤡,0
La strat est bonne 💀,0
ptdr Niveau zéro 💀,1
mdr Nice play 😭,0
eh T'es à la ramasse,1
mdr C'est de la merde ptdr,1
ptdr Ferme ta gueule,1
non mais Arrête de stream 😭,1
franchement Quel malaise ptdr,1
lol Tu joues depuis combien de temps ? mdr,0
eh Ce jeu est incroyable 💀,0
T'es un gros con 😭,1
lol Quel est ton setup ? 😭,0
wesh Retourne apprendre à jouer,1
ptdr Super stream aujourd'hui,0
wesh Nice play sérieux,0
ptdr Supprime ta chaîne,1
lol J'en peux plus de te voir 😭,1
eh On s'ennuie à mort 💀,1
eh Personne t'aime ici ptdr,1
wesh GG 😭,0
franchement C'est nul à chier 💀,1
Quel stream de merde ptdr,1
eh Supprime ta chaîne ptdr,1
Let's goooo 💀,0
lol Quel stream de merde,1
Ça joue bien mdr,0
eh T'es mauvais mdr,1
ptdr T'es chaud aujourd'hui 💀,0
non mais T'es nul sérieux,1
mdr Trop clean ptdr,0
franchement Trop clean 😭,0
franchement C'est insupportable 🤡,1
franchement Même ma grand-mère joue mieux ptdr,1
mdr T'es gênant sérieux,1
eh Apprends à jouer 😭,1
eh Trop fort 😭,0
mdr C'est nul à chier sérieux,1
non mais Trop fort,0
mdr Super stream aujourd'hui ptdr,0
franchement Même ma grand-mère joue mieux ptdr,1
non mais Tu fais n'importe quoi 🤡,1
eh Pourquoi tu streams 🤡,1
lol Très bonne ambiance ici ptdr,0
non mais T'es éclaté sérieux,1
wesh Salut tout le monde ptdr,0
ptdr Propre ptdr,0
franchement Ça fait plaisir à regarder lol,0
eh Trop fort sérieux,0
lol Mais joue correctement sérieux,1
wesh T'as aucun talent ptdr,1
mdr Trop clean sérieux,0
Supprime ta chaîne 🤡,1
eh Salut tout le monde ptdr,0
wesh Super stream aujourd'hui lol,0
eh Quel malaise 🤡,1
Ça joue bien sérieux,0
lol Arrête le stream,1
wesh Nice play 😭,0
non mais J'aime bien ton style de jeu sérieux,0
mdr Incroyable ce clutch lol,0
eh Dégage de Twitch 😭,1
mdr T'es nul lol,1
franchement Dégage de Twitch 😭,1
eh C'est insupportable 🤡,1
non mais GG mdr,0
non mais Bien vu 💀,0
franchement Tu joues depuis combien de temps ? 😭,0
franchement Propre,0
non mais Tu fais n'importe quoi mdr,1
ptdr Bien vu 😭,0
mdr T'es nul 💀,1
eh T'es pathétique ptdr,1
C'est nul à chier mdr,1
franchement Retourne apprendre à jouer lol,1
ptdr Continue le grind 💀,0
non mais J'adore ce jeu,0
wesh Dégage de Twitch sérieux,1
wesh Bien vu ptdr,0
wesh T'as un niveau éclaté 💀,1
wesh Merci pour le contenu sérieux,0
eh J'en peux plus de te voir sérieux,1
lol J'aime bien ton style de jeu 🤡,0
lol C'est insupportable ptdr,1
non mais Très bonne ambiance ici mdr,0
ptdr T'es une honte 💀,1
mdr C'est de la merde lol,1
franchement Tu fais n'importe quoi lol,1
franchement Ça clutch fort 🤡,0
eh Trop fort sérieux,0
non mais Continue comme ça,0
non mais Va te faire foutre sérieux,1
eh Niveau zéro sérieux,1
ptdr Tu fais n'importe quoi 🤡,1
wesh Let's goooo sérieux,0
lol Super stream aujourd'hui,0
franchement Apprends à jouer sérieux,1
ptdr T'es gênant mdr,1
lol On s'ennuie à mort mdr,1
wesh T'as aucun talent 😭,1
lol Bonne soirée le chat 💀,0
non mais C'est nul à chier,1
wesh Merci pour le stream,0
eh Propre 💀,0
mdr Quel clutch ptdr,0
ptdr Nice play ptdr,0
La strat est bonne mdr,0
Tu joues depuis combien de temps ? ptdr,0
wesh C'est nul à chier 💀,1
mdr C'est catastrophique lol,1
mdr T'es chaud aujourd'hui sérieux,0
eh Bien joué le move 💀,0
ptdr Merci pour le stream,0
franchement Arrête le stream 😭,1
Salut le chat,0
J'aime bien ton style de jeu sérieux,0
Mais joue correctement mdr,1
wesh Dégage de Twitch lol,1
lol Super stream aujourd'hui sérieux,0
ptdr J'aime bien ton style de jeu ptdr,0
Continue le grind,0
wesh Ça fait pitié 🤡,1
franchement Franchement respect 💀,0
ptdr T'es mauvais 🤡,1
eh Yo 🤡,0
wesh Ce jeu est incroyable 🤡,0
franchement Continue comme ça,0
eh Merci pour le stream lol,0
eh Bien vu lol,0
ptdr Nice play sérieux,0
Tu joues depuis combien de temps ? lol,0
mdr La strat est bonne lol,0
franchement Ça clutch fort 🤡,0
ptdr Salut le chat 🤡,0
eh Incroyable ce clutch 😭,0
franchement Tu gères ptdr,0
mdr Bon courage sérieux,0
ptdr T'es mauvais ptdr,1
lol Quel malaise,1
non mais Ça fait plaisir à regarder 😭,0
Supprime ta chaîne,1
C'est de la merde 🤡,1
ptdr Trop clean lol,0
eh Bonne soirée le chat 🤡,0
franchement Ferme ta gueule 😭,1
wesh Va te faire foutre lol,1
franchement Tu joues depuis combien de temps ? ptdr,0
franchement Yo,0
lol Quelle purge lol,1
ptdr Niveau zéro,1
non mais Quel malaise sérieux,1
ptdr GG bien joué lol,0
eh Continue comme ça lol,0
ptdr T'es un gros con mdr,1
Personne t'aime ici 😭,1
ptdr Ferme ta gueule 🤡,1
lol Merci pour le stream mdr,0
wesh Bon courage 🤡,0
Change de jeu t'es nul ptdr,1
lol T'es gênant sérieux,1
ptdr T'es pathétique 💀,1
Trop fort mdr,0
non mais GG bien joué lol,0
non mais T'es ridicule 🤡,1
ptdr T'es éclaté 😭,1
wesh T'es ridicule sérieux,1
non mais C'est insupportable 😭,1
ptdr T'as aucun talent sérieux,1
Quel malaise 💀,1
franchement T'as un niveau éclaté 😭,1
non mais T'es à la ramasse lol,1
lol Hâte de voir la suite ptdr,0
Ça fait plaisir à regarder,0
franchement Quel clutch ptdr,0
ptdr Ça fait pitié mdr,1
non mais Hâte de voir la suite 🤡,0
wesh Quel malaise 🤡,1
mdr T'es nul 🤡,1
eh Niveau zéro,1
non mais C'est catastrophique mdr,1
wesh T'as un niveau éclaté 💀,1
eh T'es pathétique 🤡,1
eh T'es vraiment nul lol,1
non mais T'es une honte 💀,1
ptdr Bonne chance pour la suite,0
wesh T'es à la ramasse sérieux,1
eh J'aime bien ton style de jeu sérieux,0
Ça clutch fort 🤡,0
wesh Bien vu ptdr,0
ptdr Ça joue bien sérieux,0
eh Quel malaise 🤡,1
ptdr T'as aucun talent mdr,1
ptdr Yo 😭,0
franchement T'es ridicule 😭,1
ptdr T'es un gros con sérieux,1
wesh On s'ennuie à mort 💀,1
J'en peux plus de te voir lol,1
Apprends à jouer 😭,1
non mais Ferme-la 💀,1
wesh T'es gênant 😭,1
non mais Tu joues depuis combien de temps ? ptdr,0
Trop clean 😭,0
non mais Apprends à jouer mdr,1
non mais Continue le grind mdr,0
ptdr Bien joué le move sérieux,0
ptdr Salut le chat 🤡,0
mdr T'as un niveau éclaté,1
lol J'en peux plus de te voir lol,1
lol C'était une belle game mdr,0
wesh Ça clutch fort,0
eh Bonne soirée le chat mdr,0
ptdr Merci pour le contenu mdr,0
eh Merci pour le contenu 💀,0
non mais T'es gênant,1
ptdr GG mdr,0
ptdr Mais joue correctement lol,1
ptdr C'est nul à chier ptdr,1
Quelle purge mdr,1
franchement Supprime ta chaîne 😭,1
non mais Tu fais n'importe quoi 💀,1
wesh C'est de la merde mdr,1
non mais T'es une honte 😭,1
franchement Ferme-la 💀,1
non mais Continue comme ça mdr,0
wesh T'es éclaté 😭,1
wesh Salut le chat 💀,0
mdr Ça régale ptdr,0
C'est trop bien ce que tu fais sérieux,0
lol T'as un niveau éclaté 💀,1
non mais C'est nul à chier sérieux,1
wesh Yo mdr,0
eh Ça fait plaisir à regarder 💀,0
T'es éclaté 🤡,1
mdr Trop clean 🤡,0
franchement Bon courage ptdr,0
eh Bonsoir à tous 💀,0
T'es une honte 🤡,1
Trop clean 💀,0
wesh Pourquoi tu streams 💀,1
franchement T'es un gros con lol,1
wesh C'était une belle game 🤡,0
wesh Tu joues depuis combien de temps ? lol,0
non mais T'as un niveau éclaté 😭,1
ptdr T'es gênant,1
franchement Même ma grand-mère joue mieux,1
franchement T'as aucun talent sérieux,1
franchement Merci pour le contenu ptdr,0
mdr Supprime ta chaîne 🤡,1
eh Ça joue bien,0
Salut le chat 💀,0
non mais Supprime ta chaîne 😭,1
lol Supprime ta chaîne ptdr,1
eh J'en peux plus de te voir mdr,1
eh T'as un niveau éclaté mdr,1
Continue comme ça mdr,0
non mais Bien joué le move lol,0
Continue le grind ptdr,0
non mais Dégage de Twitch,1
lol C'est insupportable 😭,1
franchement Continue comme ça mdr,0
non mais Quel est ton setup ? 😭,0
Tu joues depuis combien de temps ? lol,0
eh T'es pathétique lol,1
ptdr T'es mauvais,1
franchement Ferme ta gueule ptdr,1
wesh Let's goooo,0
mdr Masterclass ptdr,0
lol Continue le grind 😭,0
wesh Retourne apprendre à jouer ptdr,1
mdr T'es nul mdr,1
mdr Continue comme ça sérieux,0
mdr Ça joue bien 🤡,0
non mais Apprends à jouer,1
mdr C'est nul à chier 😭,1
eh C'est trop bien ce que tu fais mdr,0
franchement Quel stream de merde lol,1
eh T'es gênant,1
mdr J'en peux plus de te voir 💀,1
franchement Continue comme ça lol,0
franchement Force à toi lol,0
lol Nice play lol,0
eh Apprends à jouer sérieux,1
ptdr Retourne t'entraîner,1
franchement J'adore ce jeu 😭,0
T'es à la ramasse lol,1
wesh Continue comme ça 🤡,0
ptdr J'en peux plus de te voir 🤡,1
non mais Yo 😭,0
ptdr T'as aucun talent 🤡,1
non mais Mais joue correctement 💀,1
mdr Personne t'aime ici 🤡,1
wesh Arrête de stream 🤡,1
ptdr Quel malaise lol,1
franchement Retourne apprendre à jouer 🤡,1
eh T'es pathétique lol,1
wesh Quel clutch ptdr,0
wesh Bonne soirée le chat mdr,0
non mais Bonne chance pour la suite lol,0
mdr Let's goooo 💀,0
lol Bonne chance pour la suite 💀,0
lol T'es à la ramasse 🤡,1
ptdr C'était une belle game,0
wesh T'es un gros con 😭,1
ptdr C'était une belle game ptdr,0
wesh T'es ridicule mdr,1
mdr Bien joué le move mdr,0
franchement T'es gênant lol,1
non mais Ça fait plaisir à regarder 💀,0
non mais Bonne chance pour la suite,0
Ça joue bien mdr,0
franchement Ferme ta gueule 🤡,1
mdr Va te faire foutre 💀,1
mdr Retourne apprendre à jouer,1
lol Ça régale 😭,0
mdr Let's goooo sérieux,0
ptdr Yo 🤡,0
wesh Incroyable ce clutch 🤡,0
eh Salut le chat ptdr,0
lol Tu fais n'importe quoi sérieux,1
lol Retourne t'entraîner sérieux,1
non mais C'est catastrophique 🤡,1
non mais T'es à la ramasse 😭,1
non mais Bien vu 💀,0
non mais Tu fais n'importe quoi lol,1
lol Ça fait plaisir à regarder ptdr,0
eh Ça fait plaisir à regarder 😭,0
non mais C'est trop bien ce que tu fais 💀,0
franchement GG bien joué,0
wesh Force à toi lol,0
eh T'es ridicule mdr,1
franchement Bonne chance pour la suite ptdr,0
J'aime bien ton style de jeu 😭,0
C'est insupportable ptdr,1
mdr Super stream aujourd'hui mdr,0
eh Franchement respect ptdr,0
Force à toi 💀,0
wesh Quel stream de merde 🤡,1
Ça joue bien 😭,0
Retourne t'entraîner 😭,1
non mais Merci pour le stream lol,0
lol Quel malaise 🤡,1
mdr Nice play mdr,0
ptdr Bien vu 💀,0
Incroyable ce clutch mdr,0
Merci pour le contenu mdr,0
non mais Niveau zéro mdr,1
eh Ferme-la 💀,1
ptdr Niveau zéro 🤡,1
non mais Apprends à jouer 💀,1
franchement Bien joué le move,0
wesh Change de jeu t'es nul mdr,1
non mais Tu joues depuis combien de temps ? 💀,0
non mais Ferme-la ptdr,1
wesh Ça clutch fort 🤡,0
Ça joue bien sérieux,0
Merci pour le stream lol,0
C'est nul à chier 💀,1
lol Quel stream de merde lol,1
mdr Apprends à jouer,1
wesh Quel est ton setup ? 💀,0
eh T'es vraiment nul mdr,1
eh Masterclass mdr,0
ptdr Supprime ta chaîne,1
lol GG bien joué mdr,0
non mais Ça régale 💀,0
Ça fait pitié sérieux,1
eh Change de jeu t'es nul 💀,1
franchement Supprime ta chaîne lol,1
mdr Propre 🤡,0
lol T'es pathétique 😭,1
Incroyable ce clutch sérieux,0
eh Bonne soirée le chat 🤡,0
lol Yo lol,0
eh Propre sérieux,0
franchement Continue comme ça 💀,0
eh Ça joue bien 💀,0
franchement GG mdr,0
lol C'est de la merde 😭,1
mdr Trop fort ptdr,0
wesh Retourne apprendre à jouer mdr,1
eh Quel est ton setup ? ptdr,0
non mais T'es vraiment nul ptdr,1
T'es un gros con 🤡,1
franchement Incroyable ce clutch lol,0
mdr Apprends à jouer mdr,1
ptdr Ça joue bien lol,0
lol J'adore ce jeu 😭,0
franchement Trop fort lol,0
mdr T'es vraiment nul mdr,1
ptdr T'es à la ramasse 😭,1
wesh GG bien joué 💀,0
ptdr T'es pathétique,1
mdr Quel clutch sérieux,0
mdr C'est nul à chier 🤡,1
J'adore ce jeu,0
eh Ça régale,0
mdr Arrête le stream mdr,1
franchement Trop clean mdr,0
T'es gênant ptdr,1
wesh Quelle purge 🤡,1
franchement C'est nul à chier 💀,1
ptdr Hâte de voir la suite ptdr,0
mdr Arrête le stream sérieux,1
wesh Salut tout le monde ptdr,0
eh Bien joué le move,0
eh Mais joue correctement lol,1
lol Bien joué le move 😭,0
mdr Tu joues depuis combien de temps ? 😭,0
mdr Let's goooo,0
wesh T'es ridicule,1
wesh Mais joue correctement mdr,1
eh Merci pour le contenu sérieux,0
mdr Tu gères 💀,0
lol Apprends à jouer lol,1
eh Trop fort 😭,0
franchement Apprends à jouer mdr,1
non mais Quel malaise ptdr,1
J'aime bien ton style de jeu 🤡,0
franchement Bonsoir à tous ptdr,0
mdr Retourne apprendre à jouer 😭,1
wesh Masterclass ptdr,0
non mais T'es pathétique mdr,1
mdr T'es pathétique 🤡,1
lol Propre 🤡,0
franchement Let's goooo,0
non mais C'était une belle game 🤡,0
ptdr C'est insupportable mdr,1
eh J'adore ce jeu mdr,0
wesh Bonne soirée le chat lol,0
lol Merci pour le contenu 🤡,0
lol Hâte de voir la suite 🤡,0
wesh T'es ridicule 🤡,1
Ce jeu est incroyable 😭,0
non mais Personne t'aime ici 💀,1
lol Tu joues depuis combien de temps ? lol,0
wesh T'es une honte,1
franchement T'es une honte 💀,1
wesh Mais joue correctement,1
eh Tu fais n'importe quoi,1
eh Supprime ta chaîne 💀,1
franchement T'es à la ramasse mdr,1
franchement Arrête le stream,1
wesh Let's goooo 😭,0
ptdr Ça fait pitié mdr,1
wesh T'es une honte lol,1
wesh Ça fait plaisir à regarder 😭,0
franchement GG bien joué,0
non mais Quel malaise 💀,1
mdr Ça fait pitié,1
ptdr Yo 🤡,0
ptdr Niveau zéro mdr,1
wesh Hâte de voir la suite mdr,0
mdr Let's goooo lol,0
Propre mdr,0
Merci pour le contenu mdr,0
non mais Bien joué le move lol,0
franchement La strat est bonne mdr,0
franchement Bien joué le move 💀,0
eh Arrête de stream 💀,1
wesh Nice play 😭,0
lol Apprends à jouer mdr,1
non mais Ça régale,0
mdr Trop clean 🤡,0
mdr T'es vraiment nul ptdr,1
ptdr Change de jeu t'es nul 💀,1
wesh J'aime bien ton style de jeu 🤡,0
ptdr Quel malaise sérieux,1
non mais Ça joue bien 😭,0
lol Nice play 💀,0
wesh T'es ridicule ptdr,1
mdr Quel clutch lol,0
ptdr T'es une honte 😭,1
eh Quel stream de merde ptdr,1
ptdr Tu gères 🤡,0
franchement Respect pour le niveau sérieux,0
lol Force à toi lol,0
ptdr Ferme ta gueule 🤡,1
lol C'est catastrophique ptdr,1
wesh Continue le grind sérieux,0
wesh On s'ennuie à mort 😭,1
ptdr Tu gères 💀,0
mdr Bonne chance pour la suite sérieux,0
wesh Salut le chat mdr,0
eh Ça fait plaisir à regarder lol,0
ptdr Va te faire foutre,1
lol T'es chaud aujourd'hui 🤡,0
lol Quel est ton setup ? 😭,0
lol Pourquoi tu streams ptdr,1
mdr C'est nul à chier 😭,1
ptdr C'est nul à chier ptdr,1
ptdr Mais joue correctement sérieux,1
lol Ferme ta gueule 🤡,1
lol Masterclass 🤡,0
T'es une honte 😭,1
lol Bonne chance pour la suite,0
non mais Bien vu lol,0
mdr Salut le chat 💀,0
ptdr Let's goooo lol,0
mdr Tu gères,0
wesh Yo 💀,0
eh Continue comme ça 💀,0
Continue le grind sérieux,0
ptdr Ça fait plaisir à regarder 💀,0
lol Super stream aujourd'hui 😭,0
wesh Ça clutch fort 💀,0
mdr Ferme ta gueule 💀,1
franchement Yo 🤡,0
non mais Très bonne ambiance ici 💀,0
ptdr Continue comme ça,0
mdr Quel malaise 🤡,1
wesh Let's goooo ptdr,0
non mais Change de jeu t'es nul 😭,1
lol T'as aucun talent,1
eh T'es vraiment nul lol,1
franchement Ça régale 💀,0
ptdr Bien joué le move lol,0
franchement Très bonne ambiance ici 💀,0
eh Yo 😭,0
eh Quelle purge 💀,1
non mais Trop clean 😭,0
wesh Mais joue correctement 💀,1
ptdr T'es gênant 🤡,1
mdr Propre ptdr,0
non mais Yo,0
lol Continue comme ça 🤡,0
lol On s'ennuie à mort 🤡,1
Super stream aujourd'hui 💀,0
mdr Nice play,0
franchement Masterclass,0
mdr Franchement respect 😭,0
wesh Tu gères 😭,0
C'est catastrophique lol,1
ptdr Bonsoir à tous ptdr,0
lol Tu gères 😭,0
eh T'es à la ramasse 💀,1
mdr Yo 💀,0
wesh Niveau zéro 🤡,1
non mais Ce jeu est incroyable mdr,0
franchement C'est catastrophique mdr,1
franchement C'était une belle game 🤡,0
ptdr GG bien joué,0
wesh Ça fait plaisir à regarder sérieux,0
franchement J'adore ce jeu 💀,0
mdr Respect pour le niveau ptdr,0
Apprends à jouer 😭,1
wesh Ça régale ptdr,0
mdr Super stream aujourd'hui sérieux,0
non mais J'adore ce jeu mdr,0
ptdr Ça clutch fort mdr,0
franchement Bien joué le move sérieux,0
mdr Quel malaise 💀,1
ptdr C'est catastrophique 💀,1
ptdr T'es pathétique 😭,1
mdr Tu fais n'importe quoi sérieux,1
Dégage de Twitch mdr,1
lol Quel clutch 🤡,0
non mais Bon courage sérieux,0
mdr C'est nul à chier 🤡,1
mdr C'est nul à chier ptdr,1
Ça fait plaisir à regarder lol,0
eh C'est catastrophique 💀,1
non mais Pourquoi tu streams 🤡,1
wesh C'est insupportable sérieux,1
franchement Supprime ta chaîne mdr,1
lol Respect pour le niveau,0
T'as aucun talent 💀,1
eh Trop clean lol,0
non mais Quel stream de merde 💀,1
non mais J'adore ce jeu ptdr,0
lol Merci pour le stream mdr,0
ptdr Tu joues depuis combien de temps ? 🤡,0
ptdr GG lol,0
ptdr La strat est bonne ptdr,0
ptdr T'as un niveau éclaté sérieux,1
non mais Force à toi sérieux,0
ptdr T'es une honte 💀,1
franchement Dégage de Twitch,1
Merci pour le stream 🤡,0
ptdr GG bien joué mdr,0
franchement Tu fais n'importe quoi mdr,1
non mais Bon courage,0
Ça clutch fort 🤡,0
eh Quel stream de merde 😭,1
lol Dégage de Twitch sérieux,1
mdr Continue le grind,0
ptdr Ferme ta gueule ptdr,1
Retourne apprendre à jouer 💀,1
Quel clutch sérieux,0
non mais Quelle purge 🤡,1
mdr Tu joues depuis combien de temps ?,0
wesh Retourne t'entraîner mdr,1
ptdr Va te faire foutre ptdr,1
franchement Pourquoi tu streams 😭,1
mdr Tu gères 🤡,0
eh Très bonne ambiance ici 🤡,0
Ça régale,0
mdr Respect pour le niveau sérieux,0
mdr Même ma grand-mère joue mieux 😭,1
ptdr Merci pour le stream lol,0
